study_id,title,first_author,venue,year,iot_domain,topology,agent_architecture,reasoning_strategy,cybersecurity_focus,benchmarks,critical_limitations,compound_failure_mode,reports_false_discovery_rate,coding_source
ref-74,KnowCTI: Knowledge-based Cyber Threat Intelligence Entity and Relation Extraction,Wang,ACM DL,2024,general IoT,edge,non-agentic-baseline,none,threat-intelligence,,,,,author-verified
ref-75,Optimising AI Models for Intelligence Extraction in the Life Cycle of Cybersecurity Threat Landscape Generation,Zacharis,ACM DL,2025,cross-cutting,,non-agentic-baseline,none,,,,,,author-verified
ref-76,Graph-Based Android Malware Detection and Categorization through BERT Transformer,Saracino,ACM DL,2023,cross-cutting,,single-agent,,detection,,,,,author-verified
ref-77,MoRSE: Bridging the Gap in Cybersecurity Expertise with Retrieval Augmented Generation,Simoni,ACM DL,2025,cross-cutting,,non-agentic-baseline,none,,,,,,author-verified
ref-78,Adversarial Attacks Against Deep Learning-Based Network Intrusion Detection Systems and Defense Mechanisms,Zhang,IEEE Xplore,2022,cross-cutting,,non-agentic-baseline,none,detection,,,,,author-verified
ref-79,A Lightweight IoT Intrusion Detection Model Based on Improved BERT-of-Theseus,Wang,ACM DL,2024,general IoT,edge,single-agent,,detection,,,,,manuscript-explicit
ref-80,E-GRACL: An IoT Intrusion Detection System Based on Graph Neural Networks,Lin,ACM DL,2024,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-81,Explainable AI-Based Intrusion Detection in the IoT,Siganos,ACM DL,2023,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-82,GNN-IDS: Graph Neural Network Based Intrusion Detection System,Sun,ACM DL,2024,cross-cutting,,non-agentic-baseline,none,detection,,,,,author-verified
ref-83,APOLLO: A GPT-Based Tool to Detect Phishing Emails and Generate Explanations That Warn Users,Desolda,ACM DL,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-84,PhishEmailLLM: A Meta Model Approach to Detect Phishing Emails by Leveraging LLMs and ML Models,Nair,ACM DL,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-85,PhishURLDetect: A Parameter-Efficient Fine-Tuning of LLMs using LoRA for Detection of Phishing URLs,Ali,ACM DL,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-86,The Impact of LLM Assistance on User Spam Detection,Morales Flores,ACM DL,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-87,Smart Contract Vulnerability Detection: The Role of Large Language Model (LLM),Boi,ACM DL,2024,cross-cutting,,single-agent,,vulnerability-discovery,,,,no,manuscript-explicit
ref-88,Automated Smart Contract Vulnerability Detection using Fine-tuned LLMs,Yang,ACM DL,2023,cross-cutting,,single-agent,,vulnerability-discovery,,,,no,manuscript-explicit
ref-89,How Far Have We Been on the Path of LLM-Enhanced Vulnerability Detection,Shen,ACM DL,2025,cross-cutting,,single-agent,,vulnerability-discovery,,,,yes,manuscript-explicit
ref-90,FITS: Inferring Intermediate Taint Sources for Effective Vulnerability Analysis of IoT Device Firmware,Liu,ACM DL,2024,general IoT,,non-agentic-baseline,none,vulnerability-discovery,,,,,author-verified
ref-91,Malware Detection at the Edge with Lightweight LLMs: A Performance Evaluation,Rondanini,ACM DL,2025,general IoT,edge,single-agent,,detection,,,,,author-verified
ref-92,LLM Security Guard for Code,Kavian,ACM DL,2024,cross-cutting,,single-agent,,vulnerability-discovery,,,,yes,manuscript-explicit
ref-93,"Benchmarking Large Language Models for Log Analysis, Security, and Interpretation",Karlsen,ACM DL,2024,cross-cutting,,single-agent,,,,,,,author-verified
ref-94,IntelliSOAR: Intelligent Alert Enrichment Using Security Orchestration Automation and Response (SOAR),Dwivedi,ACM DL,2024,cross-cutting,,single-agent,,response,,,,,manuscript-explicit
ref-95,Evaluation and Benchmarking of LLM Agents: A Survey,Mohammadi,ACM DL,2025,cross-cutting,,single-agent,,cross-cutting (survey),,,,,author-verified
ref-96,Hybrid Deep Learning Model for Attack Detection in Internet of Things,Rekha,ACM DL,2022,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-97,Vulnerability Aspects Extraction and Discrepancies Detection across Heterogeneous Threat Intelligence,Wang,ACM DL,2025,cross-cutting,,non-agentic-baseline,none,threat-intelligence,,,,,author-verified
ref-98,Application of Large Language Models in the Protection of Industrial IoT Systems for Critical Infrastructure,Manowska,MDPI,2026,industrial IoT,,single-agent,,,,,,,author-verified
ref-99,"Large Language Models in Cybersecurity: A Survey of Applications, Vulnerabilities, and Defense Techniques",Jaffal,MDPI,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-100,A Comprehensive Survey on Generative AI Solutions in IoT Security,López Delgado,MDPI,2024,general IoT,,non-agentic-baseline,none,cross-cutting (survey),,,,,author-verified
ref-101,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,Neto,MDPI,2023,general IoT,,non-agentic-baseline,none,,CICIoT2023,,,,author-verified
ref-102,A Systematic Review of Data-Driven Attack Detection Trends in IoT,Haque,MDPI,2023,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-103,A Lightweight Intrusion Detection System for IoT: Clustering and Monte Carlo Cross-Entropy Approach,Almalawi,MDPI,2025,general IoT,edge,non-agentic-baseline,none,detection,,,,,author-verified
ref-104,From Edge Transformer to IoT Decisions: Offloaded Embeddings for Lightweight Intrusion Detection,Adjewa,MDPI,2026,general IoT,edge,single-agent,,detection,,,,,manuscript-explicit
ref-105,LLM-Boofuzz: Generation-Based Black-Box Fuzzing for Network Protocols via LLMs,Wang,MDPI,2025,cross-cutting,,single-agent,,vulnerability-discovery,,,,no,manuscript-explicit
